name,gender,wikidata,type
"Avenue Reine Astrid",F,Q230238,way
"Chaussée Brunehault",F,Q230639,way
"Clos Reine Astrid",F,Q230238,way
"Place Reine Astrid",F,Q230238,way
"Boulevard Frère-Orban",M,Q705791,way
"Place Communale",M,Q261978,way
"Quai Orban",M,Q705791,way
"Quai Paul van Hoegaerden",M,Q705791,way
"Quai de Rome",M,Q705791,way
"Rue Henri Orban",M,Q1917874,way
"Rue Henri de Louvain",M,Q261978,way
"Rue Martin Luther King",M,Q8027,way
