name,gender,wikidata,type
"Clos des Mésanges",,,way
"Clos des Phosphatières",,,way
"Clos des Postiers",,,way
"Clos des Sotês",,,way
"Clos du Long Sentier",,,way
"Clos du Phalanstère",,,way
"Clos du Vélodrome",,,way
"Clos du Vert Champs",,,way
"Clos du Vieux Bure",,,way
"Cour Goffinet",,,way
"Cour Hénaux",,,way
"Cour Jacquet",,,way
"Cour Laurant",,,way
"Cour Moreau",,,way
"Cour Poupier",,,way
"Cour Saint-Antoine",,,way
"Cour Saint-Gilles",,,way
"Cour Sarton",,,way
"Cour Soleil",,,way
"Cour Tassin",,,way
"Cour des Mineurs",,,way
"Cour des Minimes",,,way
"Cour du Rivage",,,way
"Degré des Artisans",,,way
"Degrés Saint-Pierre",,,way
"Degrès des Dentellières",,,way
"Degrés des Tisserands",,,way
"Drève de Fayen",,,way
"Drève des Aulnes",,,way
"Drève du Château",,,way
"En Bergerue",,,way
"En Féronstrée",,,way
"En Mi-la-ville",,,way
"En Neuvice",,,way
"En Tchirrowe",,,way
"Entrée du Parc des Animaux",,,way
Es-Lairesse,,,way
"Espace François Jacqmin",,,way
"Espace Tivoli",,,way
"Esplanade Albert 1er",,,way
"Esplanade Saint Léonard",,,relation
Favechamps,,,way
GR57,,,way
"Galeria Regina",,,way
"Galeries Saint-Lambert",,,way
"Gallerie Cathédrale",,,way
"Grande Traverse",,,way
"Haut Fawe",,,way
"Impasse Beco",,,way
"Impasse Boileau",,,way
"Impasse Croctay",,,way
"Impasse Defize",,,way
"Impasse Derousseau",,,way
"Impasse Gemay",,,way
"Impasse Gérard",,,way
"Impasse Guillaume",,,way
"Impasse Horion",,,way
"Impasse Hubert Goffin",,,way
"Impasse Jonckeu",,,way
"Impasse Macors",,,way
"Impasse Magnée",,,way
"Impasse Pissaine",,,way
"Impasse Simonis",,,way
"Impasse d'Elmer",,,way
"Impasse de Vottem",,,way
"Impasse de l'Avenir",,,way
"Impasse de la Gare",,,way
"Impasse de la Mutualité",,,way
"Impasse des Camus",,,way
"Impasse des Ursulines",,,way
"Impasse du Chéra",,,way
"Impasse du Gué",,,way
"Jardin Emile Vandervelde",,,way
"Jardin de l'abbé Firket",,,way
Jonruelle,,,way
L'Agora,,,way
"La Batte",,,way
"Large Voie",,,way
Lavaniste-Voie,,,way
"Le Cadran",,,way
"Le Carré",,,relation
"Mont Saint-Martin",,,way
"Montagne Sainte-Walburge",,,way
